rawfile_id,timestamp,rawfile_name,sample_id,run_type,keep,batch,ome_id,Sample
534,1720406320.89136,20240704_WFB_Plate_06_1008_NPB,108,Sample,1,6,1,1008
535,1720410090.62996,20240704_WFB_Plate_06_1039_NPB,139,Sample,1,6,1,1039
536,1720413858.50858,20240704_WFB_Plate_06_1099_NPB,198,Sample,1,6,1,1099
537,1720417626.08582,20240704_WFB_Plate_06_1125_NPB,224,Sample,1,6,1,1125
538,1720421395.49498,20240704_WFB_Plate_06_NC12_NPB,392,Sample,1,6,1,NC12
539,1720425163.25343,20240704_WFB_Plate_06_1018_NPB,118,Sample,1,6,1,1018
540,1720428931.12298,20240704_WFB_Plate_06_1150_NPB,248,Sample,1,6,1,1150
541,1720432376.62221,20240704_WFB_Plate_06_QC_05,-1,QC,1,6,1,QC
542,1720436144.36456,20240704_WFB_Plate_06_PC1,-1,Control,1,6,1,PC1
543,1720439909.79498,20240704_WFB_Plate_06_DC,-1,Control,1,6,1,DC
544,1720443677.60542,20240704_WFB_Plate_06_MPE,-1,Control,1,6,1,MPE
545,1720447443.5691,20240704_WFB_Plate_06_PC2,-1,Control,1,6,1,PC2
546,1720451239.40291,20240704_WFB_Plate_06_MSControl,-1,Control,1,6,1,MSControl
547,1720460445.52102,20240708_WFB_Plate_07_QC_01,-1,QC,1,7,1,QC
548,1720464219.83136,20240708_WFB_Plate_07_NC20_NPA,400,Sample,1,7,1,NC20
549,1720467987.44388,20240708_WFB_Plate_07_6_NPA,6,Sample,1,7,1,6
550,1720471753.25869,20240708_WFB_Plate_07_1142-2_NPA,364,Sample,1,7,1,1142.2
551,1720475527.34913,20240708_WFB_Plate_07_1180_NPA,278,Sample,1,7,1,1180
552,1720479301.07382,20240708_WFB_Plate_07_76_NPA,74,Sample,1,7,1,76
553,1720483072.88678,20240708_WFB_Plate_07_1168_NPA,266,Sample,1,7,1,1168
554,1720486840.00593,20240708_WFB_Plate_07_1135_NPA,233,Sample,1,7,1,1135
555,1720490615.96986,20240708_WFB_Plate_07_1112-2_NPA,344,Sample,1,7,1,1112.2
556,1720494385.47618,20240708_WFB_Plate_07_1043_NPA,143,Sample,1,7,1,1043
557,1720498153.14705,20240708_WFB_Plate_07_89_NPA,87,Sample,1,7,1,89
558,1720501922.2697,20240708_WFB_Plate_07_H27_NPA,314,Sample,1,7,1,H27
559,1720505693.65205,20240708_WFB_Plate_07_NC8_NPA,388,Sample,1,7,1,NC8
560,1720509460.84878,20240708_WFB_Plate_07_1050-2_NPA,336,Sample,1,7,1,1050.2
561,1720513229.97154,20240708_WFB_Plate_07_1060_NPA,159,Sample,1,7,1,1060
562,1720516997.62544,20240708_WFB_Plate_07_12_NPA,12,Sample,1,7,1,12
563,1720520769.28838,20240708_WFB_Plate_07_1051_NPA,150,Sample,1,7,1,1051
564,1720524537.49608,20240708_WFB_Plate_07_32_NPA,31,Sample,1,7,1,32
565,1720528305.19665,20240708_WFB_Plate_07_2019-61_NPA,331,Sample,1,7,1,2019.61
566,1720532077.5536,20240708_WFB_Plate_07_26_NPA,25,Sample,1,7,1,26
567,1720535849.37261,20240708_WFB_Plate_07_1118-2_NPA,349,Sample,1,7,1,1118.2
568,1720539297.19457,20240708_WFB_Plate_07_QC_02,-1,QC,1,7,1,QC
569,1720543071.13852,20240708_WFB_Plate_07_1175_NPA,273,Sample,1,7,1,1175
570,1720546843.24751,20240708_WFB_Plate_07_2_NPA,2,Sample,1,7,1,2
571,1720550615.35779,20240708_WFB_Plate_07_21_NPA,20,Sample,1,7,1,21
572,1720554391.40379,20240708_WFB_Plate_07_78_NPA,76,Sample,1,7,1,78
573,1720558161.02214,20240708_WFB_Plate_07_1141_NPA,239,Sample,1,7,1,1141
574,1720561932.39714,20240708_WFB_Plate_07_1147_NPA,245,Sample,1,7,1,1147
575,1720565700.21144,20240708_WFB_Plate_07_1154_NPA,252,Sample,1,7,1,1154
576,1720569471.88506,20240708_WFB_Plate_07_1027_NPA,127,Sample,1,7,1,1027
577,1720573241.52365,20240708_WFB_Plate_07_1031_NPA,131,Sample,1,7,1,1031
578,1720577008.87815,20240708_WFB_Plate_07_1054_NPA,153,Sample,1,7,1,1054
579,1720580778.53219,20240708_WFB_Plate_07_1097_NPA,196,Sample,1,7,1,1097
580,1720584551.91442,20240708_WFB_Plate_07_45_NPA,44,Sample,1,7,1,45
581,1720588325.60744,20240708_WFB_Plate_07_2010-11_NPA,324,Sample,1,7,1,2010.11
582,1720592093.81564,20240708_WFB_Plate_07_1169_NPA,267,Sample,1,7,1,1169
583,1720595861.8453,20240708_WFB_Plate_07_H19_NPA,306,Sample,1,7,1,H19
584,1720599633.03335,20240708_WFB_Plate_07_1094_NPA,193,Sample,1,7,1,1094
585,1720603407.0096,20240708_WFB_Plate_07_1136_NPA,234,Sample,1,7,1,1136
586,1720607176.60117,20240708_WFB_Plate_07_1004_NPA,104,Sample,1,7,1,1004
587,1720610944.33307,20240708_WFB_Plate_07_1078_NPA,177,Sample,1,7,1,1078
588,1720614714.22387,20240708_WFB_Plate_07_1105-2_NPA,337,Sample,1,7,1,1105.2
589,1720618164.64533,20240708_WFB_Plate_07_QC_03,-1,QC,1,7,1,QC
590,1720621934.35534,20240708_WFB_Plate_07_NC20_NPB,400,Sample,1,7,1,NC20
591,1720625708.56902,20240708_WFB_Plate_07_6_NPB,6,Sample,1,7,1,6
592,1720629478.20127,20240708_WFB_Plate_07_1142-2_NPB,364,Sample,1,7,1,1142.2
593,1720633246.51356,20240708_WFB_Plate_07_1180_NPB,278,Sample,1,7,1,1180
594,1720637016.26057,20240708_WFB_Plate_07_76_NPB,74,Sample,1,7,1,76
595,1720640786.53033,20240708_WFB_Plate_07_1168_NPB,266,Sample,1,7,1,1168
596,1720644556.58036,20240708_WFB_Plate_07_1135_NPB,233,Sample,1,7,1,1135
597,1720648328.36168,20240708_WFB_Plate_07_1112-2_NPB,344,Sample,1,7,1,1112.2
598,1720652097.99647,20240708_WFB_Plate_07_1043_NPB,143,Sample,1,7,1,1043
599,1720655867.76888,20240708_WFB_Plate_07_89_NPB,87,Sample,1,7,1,89
600,1720659638.18726,20240708_WFB_Plate_07_H27_NPB,314,Sample,1,7,1,H27
601,1720663408.8234,20240708_WFB_Plate_07_NC8_NPB,388,Sample,1,7,1,NC8
602,1720667177.1222,20240708_WFB_Plate_07_1050-2_NPB,336,Sample,1,7,1,1050.2
603,1720670951.05064,20240708_WFB_Plate_07_1060_NPB,159,Sample,1,7,1,1060
604,1720674724.9868,20240708_WFB_Plate_07_12_NPB,12,Sample,1,7,1,12
605,1720678496.42935,20240708_WFB_Plate_07_1051_NPB,150,Sample,1,7,1,1051
606,1720682268.02193,20240708_WFB_Plate_07_32_NPB,31,Sample,1,7,1,32
607,1720686037.81091,20240708_WFB_Plate_07_2019-61_NPB,331,Sample,1,7,1,2019.61
608,1720689807.67747,20240708_WFB_Plate_07_26_NPB,25,Sample,1,7,1,26
609,1720693577.46129,20240708_WFB_Plate_07_1118-2_NPB,349,Sample,1,7,1,1118.2
610,1720697023.40621,20240708_WFB_Plate_07_QC_04,-1,QC,1,7,1,QC
611,1720700795.40325,20240708_WFB_Plate_07_1175_NPB,273,Sample,1,7,1,1175
612,1720704564.87679,20240708_WFB_Plate_07_2_NPB,2,Sample,1,7,1,2
613,1720708338.73187,20240708_WFB_Plate_07_21_NPB,20,Sample,1,7,1,21
614,1720712110.84996,20240708_WFB_Plate_07_78_NPB,76,Sample,1,7,1,78
615,1720715880.63049,20240708_WFB_Plate_07_1141_NPB,239,Sample,1,7,1,1141
616,1720719651.98342,20240708_WFB_Plate_07_1147_NPB,245,Sample,1,7,1,1147
617,1720723422.21325,20240708_WFB_Plate_07_1154_NPB,252,Sample,1,7,1,1154
618,1720727190.35592,20240708_WFB_Plate_07_1027_NPB,127,Sample,1,7,1,1027
619,1720730960.27072,20240708_WFB_Plate_07_1031_NPB,131,Sample,1,7,1,1031
620,1720734734.30515,20240708_WFB_Plate_07_1054_NPB,153,Sample,1,7,1,1054
621,1720738509.5208,20240708_WFB_Plate_07_1097_NPB,196,Sample,1,7,1,1097
622,1720742285.01482,20240708_WFB_Plate_07_45_NPB,44,Sample,1,7,1,45
623,1720746058.18998,20240708_WFB_Plate_07_2010-11_NPB,324,Sample,1,7,1,2010.11
624,1720749827.67973,20240708_WFB_Plate_07_1169_NPB,267,Sample,1,7,1,1169
625,1720753594.97812,20240708_WFB_Plate_07_H19_NPB,306,Sample,1,7,1,H19
626,1720757364.4613,20240708_WFB_Plate_07_1094_NPB,193,Sample,1,7,1,1094
627,1720761133.89063,20240708_WFB_Plate_07_1136_NPB,234,Sample,1,7,1,1136
628,1720764906.15402,20240708_WFB_Plate_07_1004_NPB,104,Sample,1,7,1,1004
