rawfile_name_R,rawfile_name,rawfile_id,sample_id,sample,run_type,DilutionConcentration,batch,ome_id,keep,timestamp
X20240725_SIA_Batch4_1160_2.raw,20240725_SIA_Batch4_1160_2.raw,1191,376,1160.2,Sample,NA,4,2,1,28:47.9
X20240725_SIA_Batch4_1169_2.raw,20240725_SIA_Batch4_1169_2.raw,1194,379,1169.2,Sample,NA,4,2,1,27:37.4
X20240725_SIA_Batch4_1171.raw,20240725_SIA_Batch4_1171.raw,1128,269,1171,Sample,NA,4,2,1,42:57.3
X20240725_SIA_Batch4_1173.raw,20240725_SIA_Batch4_1173.raw,1130,271,1173,Sample,NA,4,2,1,09:50.4
X20240725_SIA_Batch4_1185.raw,20240725_SIA_Batch4_1185.raw,1142,283,1185,Sample,NA,4,2,1,55:38.9
X20240725_SIA_Batch4_1186.raw,20240725_SIA_Batch4_1186.raw,1143,284,1186,Sample,NA,4,2,1,52:36.9
X20240725_SIA_Batch4_17.raw,20240725_SIA_Batch4_17.raw,919,16,17,Sample,NA,4,2,1,28:12.7
X20240725_SIA_Batch4_20.raw,20240725_SIA_Batch4_20.raw,922,19,20,Sample,NA,4,2,1,08:36.4
X20240725_SIA_Batch4_2006_95.raw,20240725_SIA_Batch4_2006_95.raw,1198,320,2006.95,Sample,NA,4,2,1,27:02.2
X20240725_SIA_Batch4_3.raw,20240725_SIA_Batch4_3.raw,909,3,3,Sample,NA,4,2,1,54:24.6
X20240725_SIA_Batch4_60.raw,20240725_SIA_Batch4_60.raw,952,58,60,Sample,NA,4,2,1,12:50.2
X20240725_SIA_Batch4_79.raw,20240725_SIA_Batch4_79.raw,968,77,79,Sample,NA,4,2,1,09:13.4
X20240725_SIA_Batch4_97.raw,20240725_SIA_Batch4_97.raw,982,95,97,Sample,NA,4,2,1,25:49.9
X20240725_SIA_Batch4_Control_rep1.raw,20240725_SIA_Batch4_Control_rep1.raw,1211,-1,Blank,QcRep,NA,4,2,1,45:21.5
X20240725_SIA_Batch4_Control_rep2.raw,20240725_SIA_Batch4_Control_rep2.raw,1221,-1,Blank,QcRep,NA,4,2,1,29:24.9
X20240725_SIA_Batch4_Control_rep3.raw,20240725_SIA_Batch4_Control_rep3.raw,1231,-1,Blank,QcRep,NA,4,2,1,14:04.2
X20240725_SIA_Batch4_Control_rep4.raw,20240725_SIA_Batch4_Control_rep4.raw,1241,-1,Blank,QcRep,NA,4,2,1,57:26.2
X20240725_SIA_Batch4_Control_rep5.raw,20240725_SIA_Batch4_Control_rep5.raw,1251,-1,Blank,QcRep,NA,4,2,1,50:51.4
X20240725_SIA_Batch4_H1.raw,20240725_SIA_Batch4_H1.raw,1267,288,H1,Sample,NA,4,2,1,26:24.9
X20240725_SIA_Batch4_H24.raw,20240725_SIA_Batch4_H24.raw,1282,311,H24,Sample,NA,4,2,1,42:22.2
X20240725_SIA_Batch4_NC11.raw,20240725_SIA_Batch4_NC11.raw,1292,391,NC11,Sample,NA,4,2,1,53:47.2
X20240725_SIA_Batch4_NC15.raw,20240725_SIA_Batch4_NC15.raw,1294,395,NC15,Sample,NA,4,2,1,53:12.1
X20240727_SIA_Batch5_1.raw,20240727_SIA_Batch5_1.raw,907,1,1,Sample,NA,5,2,1,31:51.3
X20240727_SIA_Batch5_1007.raw,20240727_SIA_Batch5_1007.raw,995,107,1007,Sample,NA,5,2,1,05:54.4
X20240727_SIA_Batch5_1012.raw,20240727_SIA_Batch5_1012.raw,1000,112,1012,Sample,NA,5,2,1,27:45.3
X20240727_SIA_Batch5_1025.raw,20240727_SIA_Batch5_1025.raw,1008,125,1025,Sample,NA,5,2,1,30:05.9
X20240727_SIA_Batch5_1046.raw,20240727_SIA_Batch5_1046.raw,1025,145,1046,Sample,NA,5,2,1,32:26.4
X20240727_SIA_Batch5_1047.raw,20240727_SIA_Batch5_1047.raw,1026,146,1047,Sample,NA,5,2,1,14:47.5
X20240727_SIA_Batch5_1068.raw,20240727_SIA_Batch5_1068.raw,1042,167,1068,Sample,NA,5,2,1,06:29.6
X20240727_SIA_Batch5_1073.raw,20240727_SIA_Batch5_1073.raw,1047,172,1073,Sample,NA,5,2,1,48:21.6
X20240727_SIA_Batch5_1076.raw,20240727_SIA_Batch5_1076.raw,1049,175,1076,Sample,NA,5,2,1,15:22.7
X20240727_SIA_Batch5_1089.raw,20240727_SIA_Batch5_1089.raw,1057,188,1089,Sample,NA,5,2,1,13:37.4
X20240727_SIA_Batch5_1112.raw,20240727_SIA_Batch5_1112.raw,1075,211,1112,Sample,NA,5,2,1,29:32.9
X20240727_SIA_Batch5_1120.raw,20240727_SIA_Batch5_1120.raw,1082,219,1120,Sample,NA,5,2,1,31:16.3
X20240727_SIA_Batch5_1122_2.raw,20240727_SIA_Batch5_1122_2.raw,1167,352,1122.2,Sample,NA,5,2,1,12:26.9
X20240727_SIA_Batch5_1125_2.raw,20240727_SIA_Batch5_1125_2.raw,1169,354,1125.2,Sample,NA,5,2,1,27:10.3
X20240727_SIA_Batch5_1127.raw,20240727_SIA_Batch5_1127.raw,1088,226,1127,Sample,NA,5,2,1,44:49.1
X20240727_SIA_Batch5_1144_2.raw,20240727_SIA_Batch5_1144_2.raw,1181,366,1144.2,Sample,NA,5,2,1,49:31.9
X20240727_SIA_Batch5_1145.raw,20240727_SIA_Batch5_1145.raw,1103,243,1145,Sample,NA,5,2,1,10:41.5
X20240727_SIA_Batch5_1146.raw,20240727_SIA_Batch5_1146.raw,1104,244,1146,Sample,NA,5,2,1,04:09.1
X20240727_SIA_Batch5_1147_2.raw,20240727_SIA_Batch5_1147_2.raw,1183,368,1147.2,Sample,NA,5,2,1,02:25.5
X20240727_SIA_Batch5_1149_2.raw,20240727_SIA_Batch5_1149_2.raw,1185,370,1149.2,Sample,NA,5,2,1,47:46.6
X20240727_SIA_Batch5_1160.raw,20240727_SIA_Batch5_1160.raw,1117,258,1160,Sample,NA,5,2,1,11:51.7
X20240727_SIA_Batch5_1166.raw,20240727_SIA_Batch5_1166.raw,1123,264,1166,Sample,NA,5,2,1,14:12.4
X20240727_SIA_Batch5_1178.raw,20240727_SIA_Batch5_1178.raw,1135,276,1178,Sample,NA,5,2,1,47:11.5
X20240727_SIA_Batch5_1179.raw,20240727_SIA_Batch5_1179.raw,1136,277,1179,Sample,NA,5,2,1,01:48.4
X20240727_SIA_Batch5_1189.raw,20240727_SIA_Batch5_1189.raw,1146,287,1189,Sample,NA,5,2,1,46:34.4
X20240727_SIA_Batch5_2003_16.raw,20240727_SIA_Batch5_2003_16.raw,1196,317,2003.16,Sample,NA,5,2,1,11:16.7
X20240727_SIA_Batch5_2008_53.raw,20240727_SIA_Batch5_2008_53.raw,1199,322,2008.53,Sample,NA,5,2,1,30:39.0
X20240727_SIA_Batch5_31.raw,20240727_SIA_Batch5_31.raw,931,30,31,Sample,NA,5,2,1,48:56.8
X20240727_SIA_Batch5_34.raw,20240727_SIA_Batch5_34.raw,934,33,34,Sample,NA,5,2,1,45:59.5
X20240727_SIA_Batch5_4.raw,20240727_SIA_Batch5_4.raw,910,4,4,Sample,NA,5,2,1,03:33.9
X20240727_SIA_Batch5_52.raw,20240727_SIA_Batch5_52.raw,946,51,52,Sample,NA,5,2,1,28:22.3
X20240727_SIA_Batch5_63.raw,20240727_SIA_Batch5_63.raw,954,61,63,Sample,NA,5,2,1,05:19.3
X20240727_SIA_Batch5_74.raw,20240727_SIA_Batch5_74.raw,965,72,74,Sample,NA,5,2,1,03:00.7
X20240727_SIA_Batch5_80.raw,20240727_SIA_Batch5_80.raw,969,78,80,Sample,NA,5,2,1,45:24.4
X20240727_SIA_Batch5_85.raw,20240727_SIA_Batch5_85.raw,972,83,85,Sample,NA,5,2,1,28:57.6
X20240727_SIA_Batch5_Control_rep1.raw,20240727_SIA_Batch5_Control_rep1.raw,1212,-1,Blank,QcRep,NA,5,2,1,07:04.5
X20240727_SIA_Batch5_Control_rep2.raw,20240727_SIA_Batch5_Control_rep2.raw,1222,-1,Blank,QcRep,NA,5,2,1,50:42.0
X20240727_SIA_Batch5_Control_rep3.raw,20240727_SIA_Batch5_Control_rep3.raw,1232,-1,Blank,QcRep,NA,5,2,1,33:38.9
X20240727_SIA_Batch5_Control_rep4.raw,20240727_SIA_Batch5_Control_rep4.raw,1242,-1,Blank,QcRep,NA,5,2,1,15:57.8
X20240727_SIA_Batch5_Control_rep5.raw,20240727_SIA_Batch5_Control_rep5.raw,1252,-1,Blank,QcRep,NA,5,2,1,08:56.0
X20240727_SIA_Batch5_H20.raw,20240727_SIA_Batch5_H20.raw,1278,307,H20,Sample,NA,5,2,1,50:06.9
X20240727_SIA_Batch5_H3.raw,20240727_SIA_Batch5_H3.raw,1286,290,H3,Sample,NA,5,2,1,13:02.2
X20240727_SIA_Batch5_NC4.raw,20240727_SIA_Batch5_NC4.raw,1301,384,NC4,Sample,NA,5,2,1,04:44.1
X20240729_SIA_Batch6_1008.raw,20240729_SIA_Batch6_1008.raw,996,108,1008,Sample,NA,6,2,1,40:20.6
X20240729_SIA_Batch6_1034.raw,20240729_SIA_Batch6_1034.raw,1017,134,1034,Sample,NA,6,2,1,06:50.4
X20240729_SIA_Batch6_1036.raw,20240729_SIA_Batch6_1036.raw,1019,136,1036,Sample,NA,6,2,1,06:15.4
X20240729_SIA_Batch6_1039.raw,20240729_SIA_Batch6_1039.raw,1021,139,1039,Sample,NA,6,2,1,21:35.5
X20240729_SIA_Batch6_1085.raw,20240729_SIA_Batch6_1085.raw,1054,184,1085,Sample,NA,6,2,1,49:09.3
X20240729_SIA_Batch6_1099.raw,20240729_SIA_Batch6_1099.raw,1064,198,1099,Sample,NA,6,2,1,52:05.0
X20240729_SIA_Batch6_1110_2.raw,20240729_SIA_Batch6_1110_2.raw,1157,342,1110.2,Sample,NA,6,2,1,25:39.5
X20240729_SIA_Batch6_1119.raw,20240729_SIA_Batch6_1119.raw,1081,218,1119,Sample,NA,6,2,1,24:29.1
X20240729_SIA_Batch6_1125.raw,20240729_SIA_Batch6_1125.raw,1086,224,1125,Sample,NA,6,2,1,23:20.9
X20240729_SIA_Batch6_1128.raw,20240729_SIA_Batch6_1128.raw,1089,227,1128,Sample,NA,6,2,1,39:10.2
X20240729_SIA_Batch6_1129.raw,20240729_SIA_Batch6_1129.raw,1090,228,1129,Sample,NA,6,2,1,04:28.1
X20240729_SIA_Batch6_1135_2.raw,20240729_SIA_Batch6_1135_2.raw,1174,359,1135.2,Sample,NA,6,2,1,50:21.7
X20240729_SIA_Batch6_1138_2.raw,20240729_SIA_Batch6_1138_2.raw,1177,362,1138.2,Sample,NA,6,2,1,52:42.3
X20240729_SIA_Batch6_1141_2.raw,20240729_SIA_Batch6_1141_2.raw,1178,363,1141.2,Sample,NA,6,2,1,20:58.4
X20240729_SIA_Batch6_1148_2.raw,20240729_SIA_Batch6_1148_2.raw,1184,369,1148.2,Sample,NA,6,2,1,48:34.0
X20240729_SIA_Batch6_1150.raw,20240729_SIA_Batch6_1150.raw,1108,248,1150,Sample,NA,6,2,1,22:10.5
X20240729_SIA_Batch6_1158.raw,20240729_SIA_Batch6_1158.raw,1115,256,1158,Sample,NA,6,2,1,25:04.3
