"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"104","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1070_NPA.raw",6280597140,FALSE,666,2024-06-16 17:59:09.497227,2024-06-17 11:49:41.427055,2024-06-24 10:06:55.7381,"no","20240615_WFB_Plate_02_1070_NPA",46,"1070"
"102","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1053_NPA.raw",7034315678,FALSE,666,2024-06-16 19:01:33.536762,2024-06-17 11:48:41.309809,2024-06-24 10:01:57.594545,"no","20240615_WFB_Plate_02_1053_NPA",47,"1053"
"166","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_H5_NPA.raw",6967647531,FALSE,666,2024-06-16 20:03:55.087082,2024-06-17 11:47:41.728937,2024-06-24 12:24:49.686623,"no","20240615_WFB_Plate_02_H5_NPA",48,"H5"
"132","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1170_NPA.raw",6417054219,FALSE,666,2024-06-16 21:06:16.627455,2024-06-17 11:46:46.830235,2024-06-24 11:05:22.21611,"no","20240615_WFB_Plate_02_1170_NPA",49,"1170"
"156","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_65_NPA.raw",6836378888,FALSE,666,2024-06-16 22:08:40.444054,2024-06-17 11:45:48.388399,2024-06-24 12:01:05.818068,"no","20240615_WFB_Plate_02_65_NPA",50,"65"
"146","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_35_NPA.raw",7386462989,FALSE,666,2024-06-16 23:11:03.65732,2024-06-17 11:44:45.207891,2024-06-24 11:36:36.752274,"no","20240615_WFB_Plate_02_35_NPA",51,"35"
"162","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_H2_NPA.raw",7625565814,FALSE,666,2024-06-17 00:13:24.639381,2024-06-17 11:43:39.966812,2024-06-24 12:20:06.107151,"no","20240615_WFB_Plate_02_H2_NPA",52,"H2"
"154","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_57_NPA.raw",7283095292,FALSE,666,2024-06-17 01:15:45.690351,2024-06-17 11:42:37.762486,2024-06-24 11:56:10.495821,"no","20240615_WFB_Plate_02_57_NPA",53,"57"
"108","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1100_NPA.raw",7422325750,FALSE,666,2024-06-17 02:18:09.112814,2024-06-17 11:41:34.335953,2024-06-24 10:15:28.393358,"no","20240615_WFB_Plate_02_1100_NPA",54,"1100"
"110","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1106-2_NPA.raw",7089622644,FALSE,666,2024-06-17 03:20:30.751484,2024-06-17 11:40:33.723949,2024-06-24 10:19:47.089476,"no","20240615_WFB_Plate_02_1106-2_NPA",55,"1106.2"
