"","Sample","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","Set","Observation"
"57","1049","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1049_NPB.raw",6927025080,FALSE,666,2024-06-18 08:16:15.01939,2024-06-19 10:30:45.095066,2024-07-29 20:34:28.346336,"no","20240615_WFB_Plate_02_1049_NPB","PASC",""
"58","1050","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/Samples/20240620_WFB_Plate_03_1050_NPB.raw",8135980589,FALSE,666,2024-06-23 22:25:21.824198,2024-06-24 09:10:15.23666,2024-07-29 22:24:33.223326,"no","20240620_WFB_Plate_03_1050_NPB","PASC",""
"59","1050-2","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1050-2_NPB.raw",9508453839,FALSE,666,2024-07-10 22:06:17.122204,2024-07-11 09:55:13.12525,2024-07-29 16:48:52.128765,"no","20240708_WFB_Plate_07_1050-2_NPB","PASC_fu",""
"60","1051","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1051_NPB.raw",9962817609,FALSE,666,2024-07-11 01:14:56.429354,2024-07-11 09:50:44.662214,2024-07-29 16:51:55.190758,"no","20240708_WFB_Plate_07_1051_NPB","PASC",""
"61","1052","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1052_NPB.raw",7220414171,FALSE,666,2024-06-19 19:30:21.610733,2024-06-20 09:12:30.521069,2024-07-29 20:36:40.355038,"no","20240615_WFB_Plate_02_1052_NPB","PASC",""
"62","1053","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1053_NPB.raw",7551316130,FALSE,666,2024-06-18 14:30:19.54771,2024-06-19 10:24:19.750685,2024-07-29 20:38:55.721533,"no","20240615_WFB_Plate_02_1053_NPB","PASC",""
"63","1054","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1054_NPB.raw",10576856859,FALSE,666,2024-07-11 16:52:14.305151,2024-07-12 10:00:02.720968,2024-07-29 16:55:12.174967,"no","20240708_WFB_Plate_07_1054_NPB","PASC",""
"64","1055","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/Samples/20240626_WFB_Plate_04_1055_NPB.raw",8377556396,FALSE,666,2024-06-29 15:43:06.552031,2024-06-29 23:53:31.809055,2024-07-30 00:12:37.548079,"no","20240626_WFB_Plate_04_1055_NPB","PASC",""
"65","1056","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1056_NPB.raw",9370518740,FALSE,666,2024-07-21 09:21:23.270924,2024-07-21 17:27:30.177097,2024-08-02 12:45:26.651865,"no","20240716_WFB_Plate_09_1056_NPB","PASC",""
"66","1057","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240726_Plate_08_rerun/Samples/20240726_WFB_Plate_08_1057_NPB.raw",11270827520,FALSE,666,2024-07-29 13:56:00.62932,2024-07-30 18:12:40.271786,2024-08-05 12:54:16.9664,"no","20240726_WFB_Plate_08_1057_NPB","PASC",""
