"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"365","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/QCs/20240626_WFB_Plate_04_QC_05.raw",7099238520,FALSE,666,2024-06-30 04:09:48.936514,2024-06-30 10:55:01.190491,2024-07-30 00:04:17.667089,"no","20240626_WFB_Plate_04_QC_05",21,"Plate_04_QC_05"
"452","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/QCs/20240630_WFB_Plate_05_QC_01.raw",7151624861,FALSE,666,2024-06-30 11:18:08.685793,2024-07-01 09:50:06.305811,2024-07-30 02:10:44.585699,"no","20240630_WFB_Plate_05_QC_01",22,"Plate_05_QC_01"
"453","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/QCs/20240630_WFB_Plate_05_QC_02.raw",7848518291,FALSE,666,2024-07-01 09:08:39.309256,2024-07-01 09:48:04.880041,2024-07-30 02:11:56.547588,"no","20240630_WFB_Plate_05_QC_02",23,"Plate_05_QC_02"
"454","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/QCs/20240630_WFB_Plate_05_QC_03.raw",7602465601,FALSE,666,2024-07-02 06:59:01.103836,2024-07-02 09:39:47.847706,2024-07-30 02:13:20.559446,"no","20240630_WFB_Plate_05_QC_03",24,"Plate_05_QC_03"
"455","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/QCs/20240630_WFB_Plate_05_QC_04.raw",7063143068,FALSE,666,2024-07-03 04:49:53.179543,2024-07-03 09:28:44.794794,2024-07-30 02:14:55.237555,"no","20240630_WFB_Plate_05_QC_04",25,"Plate_05_QC_04"
"456","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/QCs/20240630_WFB_Plate_05_QC_05.raw",7003984907,FALSE,666,2024-07-04 02:41:01.302261,2024-07-04 09:07:31.712257,2024-07-30 02:16:12.470421,"no","20240630_WFB_Plate_05_QC_05",26,"Plate_05_QC_05"
"542","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/QCs/20240704_WFB_Plate_06_QC_01.raw",12075181578,FALSE,666,2024-07-04 13:19:47.795811,2024-07-04 15:33:50.961229,2024-07-30 04:11:05.06039,"no","20240704_WFB_Plate_06_QC_01",27,"Plate_06_QC_01"
"543","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/QCs/20240704_WFB_Plate_06_QC_02.raw",9912329965,FALSE,666,2024-07-05 11:13:06.750467,2024-07-05 17:41:12.459831,2024-07-30 04:12:59.05932,"no","20240704_WFB_Plate_06_QC_02",28,"Plate_06_QC_02"
"544","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/QCs/20240704_WFB_Plate_06_QC_03.raw",9060416723,FALSE,666,2024-07-06 09:06:43.851572,2024-07-07 09:58:40.513767,2024-07-30 04:14:32.084244,"no","20240704_WFB_Plate_06_QC_03",29,"Plate_06_QC_03"
"545","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/QCs/20240704_WFB_Plate_06_QC_04.raw",10027353093,FALSE,666,2024-07-07 06:59:37.123592,2024-07-07 09:53:35.919279,2024-07-30 04:15:57.339113,"no","20240704_WFB_Plate_06_QC_04",30,"Plate_06_QC_04"
"546","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/QCs/20240704_WFB_Plate_06_QC_05.raw",9460103925,FALSE,666,2024-07-08 04:52:56.622208,2024-07-08 09:37:39.432285,2024-07-30 04:17:32.517073,"no","20240704_WFB_Plate_06_QC_05",31,"Plate_06_QC_05"
"632","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/QCs/20240708_WFB_Plate_07_QC_01.raw",11333368034,FALSE,666,2024-07-08 12:40:45.521019,2024-07-09 09:14:43.540609,2024-07-29 16:26:49.40967,"no","20240708_WFB_Plate_07_QC_01",32,"Plate_07_QC_01"
"633","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/QCs/20240708_WFB_Plate_07_QC_02.raw",10125977562,FALSE,666,2024-07-09 10:34:57.194567,2024-07-09 16:29:34.263708,2024-07-29 16:28:37.033335,"no","20240708_WFB_Plate_07_QC_02",33,"Plate_07_QC_02"
